thought,category
My family doesn't support my career goals,Family
The verbal abuse is too much to handle,Abuse
I don't feel appreciated in my role,Employment
I want to manage my stress better,Health
I want to rebuild my relationship with my family,Family
I miss spending time with my family,Family
I want to improve my study habits,Education
I want to improve my relationship,Relationships
There is no trust between us,Relationships
My credit card debt is increasing,Finance
I feel stuck in my current position,Employment
I want to switch careers,Employment
The verbal abuse is too much to handle,Abuse
I am worried about losing my job,Employment
I feel lost in group projects,Education
I feel unsafe at home,Abuse
I want to work on building trust,Relationships
I can't afford unexpected medical bills,Finance
I can't afford unexpected medical bills,Finance
I feel judged by my relatives,Family
I want to rebuild my relationship with my family,Family
I feel lost in group projects,Education
I want to rebuild my relationship with my family,Family
My financial stress is affecting my health,Finance
The abuse is affecting my self-esteem,Abuse
I feel distant from my siblings,Family
My credit card debt is increasing,Finance
I am facing emotional manipulation,Abuse
I can't escape this toxic relationship,Abuse
I don't feel appreciated in my role,Employment
I can't afford unexpected medical bills,Finance
I want to rebuild my relationship with my family,Family
I can't escape this toxic relationship,Abuse
I feel trapped in my current situation,Abuse
I fear for my safety,Abuse
I need to exercise more regularly,Health
I am always worried about my health,Health
My workload is too much to handle,Employment
I need help reporting abuse,Abuse
I am worried about saving for the future,Finance
I can't manage my expenses,Finance
I miss spending time with my family,Family
I can't escape this toxic relationship,Abuse
I can't afford unexpected medical bills,Finance
I want to improve my relationship,Relationships
I can't manage my expenses,Finance
I am stressed about meeting deadlines,Employment
My boss is very demanding,Employment
There are constant fights at home,Family
I feel left out during family gatherings,Family
We argue all the time,Relationships
My parents don't understand my choices,Family
I feel unmotivated to take care of myself,Health
I want to rebuild my relationship with my family,Family
I am worried about losing my job,Employment
My family doesn't support my career goals,Family
I want to switch careers,Employment
I am being controlled by someone,Abuse
I need advice on managing my loans,Finance
I need help managing my time,Education
I feel emotionally unsupported by my partner,Relationships
I feel anxious all the time,Health
I can't manage my expenses,Finance
I am scared of presenting in class,Education
I feel lonely even with my partner,Relationships
Office politics are affecting me,Employment
My bills are overdue,Finance
I am scared of presenting in class,Education
My boss is very demanding,Employment
I need advice on managing my loans,Finance
I want to improve my relationship,Relationships
My credit card debt is increasing,Finance
I am stressed about meeting deadlines,Employment
I am facing emotional manipulation,Abuse
I am struggling to keep up with my studies,Education
I am stressed about meeting deadlines,Employment
I feel emotionally unsupported by my partner,Relationships
I feel anxious all the time,Health
How can I invest with a small budget?,Finance
I feel lost in group projects,Education
I feel financially insecure,Finance
I feel anxious all the time,Health
There is no trust between us,Relationships
I feel neglected in my relationship,Relationships
I feel unsafe at home,Abuse
My relationship feels one-sided,Relationships
I want to improve my relationship,Relationships
I feel unmotivated to take care of myself,Health
I need advice on managing my loans,Finance
I feel emotionally unsupported by my partner,Relationships
I miss spending time with my family,Family
My relationship feels one-sided,Relationships
I am worried about losing my job,Employment
My financial stress is affecting my health,Finance
My parents don't understand my choices,Family
I don't know how to ask for help,Abuse
I feel unmotivated to take care of myself,Health
I can't sleep properly,Health
I feel lonely even with my partner,Relationships
I feel lonely even with my partner,Relationships
I wish my family was more supportive,Family
I think my partner is hiding something,Relationships
There are constant fights at home,Family
I feel tired and lethargic,Health
I want to improve my study habits,Education
I am struggling to keep up with my studies,Education
I can't focus during lectures,Education
I am scared of presenting in class,Education
I feel anxious all the time,Health
There are constant fights at home,Family
My mental health is deteriorating,Health
I feel anxious all the time,Health
I feel left out during family gatherings,Family
I fear for my safety,Abuse
I feel lost in group projects,Education
I feel unsafe at home,Abuse
My mental health is deteriorating,Health
I want to work on building trust,Relationships
I feel lost in group projects,Education
I need help reporting abuse,Abuse
I feel overwhelmed with assignments,Education
There are constant fights at home,Family
I need advice on managing my loans,Finance
I want to improve my relationship,Relationships
I think my partner is hiding something,Relationships
My financial stress is affecting my health,Finance
I am always worried about my health,Health
My partner and I don't communicate well,Relationships
I am stressed about meeting deadlines,Employment
I want to manage my stress better,Health
I don't feel appreciated in my role,Employment
I fear for my safety,Abuse
I feel distant from my siblings,Family
We argue all the time,Relationships
My boss is very demanding,Employment
I feel overwhelmed with assignments,Education
We argue all the time,Relationships
I want to improve my relationship,Relationships
I am scared of presenting in class,Education
My workload is too much to handle,Employment
I wish my family was more supportive,Family
I am worried about failing my exams,Education
My relationship feels one-sided,Relationships
My partner and I don't communicate well,Relationships
I wish my family was more supportive,Family
My credit card debt is increasing,Finance
My partner and I don't communicate well,Relationships
My learning pace is slower than others,Education
My parents don't understand my choices,Family
I fear for my safety,Abuse
My credit card debt is increasing,Finance
My partner and I don't communicate well,Relationships
I feel neglected in my relationship,Relationships
I want to improve my study habits,Education
My diet is very unhealthy,Health
I feel financially insecure,Finance
I am facing emotional manipulation,Abuse
My family doesn't support my career goals,Family
I can't manage my expenses,Finance
I am always worried about my health,Health
I wish my family was more supportive,Family
I want to improve my relationship,Relationships
Office politics are affecting me,Employment
Office politics are affecting me,Employment
I feel tired and lethargic,Health
My relationship feels one-sided,Relationships
I want to rebuild my relationship with my family,Family
My mental health is deteriorating,Health
My job doesn't align with my goals,Employment
My partner and I don't communicate well,Relationships
I feel unsafe at home,Abuse
My credit card debt is increasing,Finance
I can't escape this toxic relationship,Abuse
I am always worried about my health,Health
I want to manage my stress better,Health
Family pressure is overwhelming me,Family
My diet is very unhealthy,Health
I am worried about failing my exams,Education
I want to switch careers,Employment
I need help dealing with depression,Health
I am being controlled by someone,Abuse
I feel left out during family gatherings,Family
I am worried about losing my job,Employment
I want to work on building trust,Relationships
I am scared of presenting in class,Education
I feel unsafe at home,Abuse
I want to rebuild my relationship with my family,Family
I feel anxious all the time,Health
I need to exercise more regularly,Health
I am facing emotional manipulation,Abuse
My financial stress is affecting my health,Finance
I feel anxious all the time,Health
My partner and I don't communicate well,Relationships
I want to rebuild my relationship with my family,Family
I need help with budgeting,Finance
I want to switch careers,Employment
I feel trapped in my current situation,Abuse
I feel left out during family gatherings,Family
The verbal abuse is too much to handle,Abuse
I feel stuck in my current position,Employment
I need help managing my time,Education
My parents don't understand my choices,Family
I need advice on managing my loans,Finance
I feel anxious all the time,Health
I feel tired and lethargic,Health
I feel stuck in my current position,Employment
My boss is very demanding,Employment
I want to improve my relationship,Relationships
I don't know how to ask for help,Abuse
I want to work on building trust,Relationships
I feel left out during family gatherings,Family
I feel judged by my relatives,Family
I can't manage my expenses,Finance
Family pressure is overwhelming me,Family
There is no trust between us,Relationships
Family pressure is overwhelming me,Family
I don't feel appreciated in my role,Employment
I miss spending time with my family,Family
I fear for my safety,Abuse
I can't afford unexpected medical bills,Finance
I want to improve my study habits,Education
I am worried about saving for the future,Finance
I wish my family was more supportive,Family
I want to rebuild my relationship with my family,Family
How can I invest with a small budget?,Finance
I am worried about failing my exams,Education
My boss is very demanding,Employment
I feel undervalued at work,Employment
My financial stress is affecting my health,Finance
My workload is too much to handle,Employment
I feel judged by my relatives,Family
I feel undervalued at work,Employment
There is no trust between us,Relationships
My parents don't understand my choices,Family
I am struggling to keep up with my studies,Education
The abuse is affecting my self-esteem,Abuse
I want to work on building trust,Relationships
I want to improve my study habits,Education
I feel lost in group projects,Education
I feel trapped in my current situation,Abuse
I feel emotionally unsupported by my partner,Relationships
I feel undervalued at work,Employment
I am struggling to keep up with my studies,Education
I am worried about failing my exams,Education
I am worried about failing my exams,Education
I want to switch careers,Employment
